AC Name,AC No.,Type,Winning Candidate,Party,Total Electors
Dimapur-I,1,GEN,Shri. Hokishe Sema,Bharatiya Janta Party,"21,512"
Dimapur-Ii,2,ST,Hewoto,Nagaland Peoples Front,"45,950"
Dimapur-Iii,3,ST,Shri: Kihoto Hollon,Nationalist Democratic Movement,"16,992"
Ghaspani-I,4,ST,Shri: H. Khekiho Zhimomi,Nagaland Peoples Front,"54,453"
Ghaspani-Ii,5,ST,Shri: Rokonicha,Indian National Congress,"23,808"
Tenning,6,ST,Shri: T.R. Zelaing,Indian National Congress,"19,006"
Peren,7,ST,Shri: Vatsu Meru,Nagaland Peoples Front,"20,690"
Western Angami,8,ST,Shri: Kiyanilie,Nagaland Peoples Front,"17,721"
Kohima Town,9,ST,Shri: Z. Obed,Nagaland Peoples Front,"28,807"
Northern Angami-I,10,ST,Shri: Shurhozelie,Nagaland Peoples Front,"16,596"
Northern Angami-Ii,11,ST,Shri: Neiphi-U Rio,Nagaland Peoples Front,"16,790"
Tseminyu,12,ST,Shri: R. Khing,Janata Dal (United),"22,260"
Pughoboto,13,ST,Shri: Huska,Janata Dal (United),"13,650"
Southern Angami-I,14,ST,Shri: Medokul,Indian National Congress,"12,280"
Southern Angami-Ii,15,ST,Shri: K. V. Pusa,Indian National Congress,"11,373"
Pfutsero,16,ST,Shri: Kewekhape,Nagaland Peoples Front,"18,488"
Chizami,17,ST,Shri: Deo Nukhu,Samata Party,"14,051"
Chazouba,18,ST,Shri: Thenucho,Nagaland Peoples Front,"18,430"
Phek,19,ST,Shri: Kuzholuzo,Nagaland Peoples Front,"16,377"
Meluri,20,ST,Shri: Yitachu,Nagaland Peoples Front,"13,797"
Tuli,21,ST,Shri: T. Tali,Indian National Congress,"17,773"
Arkakong,22,ST,Shri: Takatiba Masa Ao,Indian National Congress,"15,483"
Impur,23,ST,Shri: Nungsangyapang,Indian National Congress,"13,360"
Angetyongpang,24,ST,Shri: Jonshilemba,Independent,"12,308"
Monguya,25,ST,Shri: S. Supongmeren Jamir,Indian National Congress,"12,065"
Aonglenden,26,ST,Shri: S.C. Jamir,Indian National Congress,"10,179"
Mokokchung Town,27,ST,Shri: Nungshizenba,Indian National Congress,"4,971"
Koridang,28,ST,Shri: Imkong Imchen,Independent,"17,560"
Jangpetkong,29,ST,Shri: I. Imkong,Indian National Congress,"10,844"
Alungtaki,30,ST,Shri: Tiameren,Bharatiya Janta Party,"14,459"
Akuluto,31,ST,Shri: Kheto,Nagaland Peoples Front,"7,725"
Atoizu,32,ST,Shri: Doshihe Y.Senia,Indian National Congress,"10,839"
Suruhuto+A2,33,ST,Shri: Khutovi,Independent,"10,217"
Aghunato,34,ST,Shri: Tokheho,Indian National Congress,"10,372"
Zunheboto,35,ST,Shri: Hukavi,Nationalist Democratic Movement,"14,442"
Satakha,36,ST,Shri: Kaito,Indian National Congress,"11,691"
Tyui,37,ST,Shri: Yankithung Yanthan,Indian National Congress,"18,154"
Wokha,38,ST,Dr. T.M. Lotha,Bharatiya Janta Party,"30,364"
Sanis,39,ST,Shri: Nkhao Lotha,Nagaland Peoples Front,"20,383"
Bhandari,40,ST,Shri: E.T. Ezung,Nationalist Democratic Movement,"20,093"
Tizit,41,ST,Shri: N. Yeangphong,Nagaland Peoples Front,"14,211"
Wakching,42,ST,Shri: M.C. Konyak,Bharatiya Janta Party,"12,305"
Tapi,43,ST,Shri: Noke,Nagaland Peoples Front,"10,599"
Phomching,44,ST,Shri: Kongam,Indian National Congress,"16,323"
Tehok,45,ST,Shri: W. Wangyuh,Indian National Congress,"13,421"
Mon Town,46,ST,Shri: Chingwang,Indian National Congress,"15,579"
Aboi,47,ST,Shri: Nyeiwang,Nagaland Peoples Front,"8,838"
Moka,48,ST,Shri: E.E. Pangteang,Nagaland Peoples Front,"12,936"
Tamlu,49,ST,Shri: Nyemli Phom,Indian National Congress,"30,113"
Longleng,50,ST,Shri: Chenlom Phom,Janata Dal (United),"31,281"
Noksen,51,ST,Shri: H. Chuba,Indian National Congress,"8,075"
Longkhim Chare,52,ST,Shri: Imtilemba,Bharatiya Janta Party,"15,454"
Tuensang Sadar-I,53,ST,Shri: P. Chuba,Independent,"16,082"
Tuensang Sadar-Ii,54,ST,Shri: A. Lakiumong,Bharatiya Janta Party,"12,976"
Tobu,55,ST,Shri: K. Naiba Konyak,Nagaland Peoples Front,"12,288"
Noklak,56,ST,Shri: P. Longon,Nagaland Peoples Front,"11,290"
Thonoknyu,57,ST,Shri: S. Heno,Nationalist Democratic Movement,"12,339"
Shamtorr-Chessore,58,ST,Shri: K. Yamukam,Indian National Congress,"15,492"
Siyuchong-Sitimi,59,ST,Shri: C. Kipili Sangtam,Nationalist Democratic Movement,"16,392"
Pungro-Kiphire,60,ST,Shri: T. Torochu,Bharatiya Janta Party,"22,534"
