AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors
Dimapur-I,1,GEN,Dimapur,H. Tovihoto Ayemi,Bharatiya Janta Party,"22,694"
Dimapur-Ii,2,ST,Dimapur,Moatoshi Longkumer,Naga Peoples Front,"51,843"
Dimapur-Iii,3,ST,Dimapur,Azheto Zhimomi,Naga Peoples Front,"32,967"
Ghaspani-I,4,ST,Dimapur,N. Jacob Zhimomi,Bharatiya Janta Party,"65,643"
Ghaspani-Ii,5,ST,Dimapur,Zhaleo Rio,Nationalist Democratic Progressive Party,"26,260"
Tenning,6,ST,Peren,Namduadi Rangkau Zeliang,Naga Peoples Front,"26,464"
Peren,7,ST,Peren,Taditui Rangkau Zeliang,Naga Peoples Front,"29,081"
Western Angami,8,ST,Kohima,Keneizhakho Nakhro,Naga Peoples Front,"16,887"
Kohima Town,9,ST,Kohima,Dr.Neikiesalie Nicky Kire,Nationalist Democratic Progressive Party,"31,489"
Northern Angami-I,10,ST,Kohima,Khriehu Liezietsu,Naga Peoples Front,"17,014"
Northern Angami-Ii,11,ST,Kohima,Neiphiu Rio,Nationalist Democratic Progressive Party,"20,965"
Tseminyu,12,ST,Kohima,R. Khing,Nationalist Democratic Progressive Party,"24,294"
Pughoboto,13,ST,Kohima,Y. Vikheho Swu,Naga Peoples Front,"13,364"
Southern Angami-I,14,ST,Kohima,Vikho-O YhoshÃƒÂœ,Nationalist Democratic Progressive Party,"13,354"
Southern Angami-Ii,15,ST,Kohima,Zale Neikha,Nationalist Democratic Progressive Party,"17,469"
Pfutsero,16,ST,Phek,Neiba Kronu,Nationalist Democratic Progressive Party,"20,596"
Chizami,17,ST,Phek,Kezhienyi Khalo,Naga Peoples Front,"16,972"
Chazouba,18,ST,Phek,Chotisuh Sazo,Naga Peoples Front,"24,181"
Phek,19,ST,Phek,Kuzholuzo Nienu,Naga Peoples Front,"21,021"
Meluri,20,ST,Phek,Yitachu,Naga Peoples Front,"16,921"
Tuli,21,ST,Mokokchung,Amenba Yaden,Naga Peoples Front,"17,224"
Arkakong,22,ST,Mokokchung,Shri Imnatiba,National People's Party,"16,290"
