AC_NAME,AC_no.,Type,Winning Candidate,Party,Total Electors
Dimapur-I,1,GEN,I. Vikheshe,Indian National Congress,"25,200"
Dimapur-Ii,2,ST,Imtisunget Jamir,Indian National Congress,"46,761"
Dimapur-Iii,3,ST,Atovi Sumi,Indian National Congress,"17,050"
Ghaspani-I,4,ST,Dr. V. Kanito,Indian National Congress,"50,657"
Ghaspani-Ii,5,ST,Rokonicha,Indian National Congress,"22,771"
Tenning,6,ST,T.R.Zelang,Indian National Congress,"16,683"
Peren,7,ST,Neiba Ndang,Indian National Congress,"19,123"
Western Angami,8,ST,Asu Keyho,Independent,"15,509"
Kohima Town,9,ST,T.Abao Kire,Independent,"25,889"
Northern Angami-I,10,ST,Seyiekuolie,Indian National Congress,"14,685"
Northern Angami-Ii,11,ST,Neiphiu Rio,Indian National Congress,"15,138"
Tseminyu,12,ST,Nillo Rengma,Indian National Congress,"19,472"
Pughoboto,13,ST,Joshua Sumi,Indian National Congress,"12,491"
Southern Angami-I,14,ST,Mavil Khieya,Independent,"11,559"
Southern Angami-Ii,15,ST,K.V. Pusa,Indian National Congress,"10,293"
Pfutsero,16,ST,Kewekhape Therie,Indian National Congress,"17,001"
Chizami,17,ST,Zhovehu Lohe,Indian National Congress,"12,367"
Chazouba,18,ST,Nuzota Swuro,Indian National Congress,"16,699"
Phek,19,ST,Zachilhu,Indian National Congress,"14,714"
Meluri,20,ST,Khuosatho,Indian National Congress,"12,398"
Tuli,21,ST,T.Tali,Indian National Congress,"16,154"
Arkakong,22,ST,Imtiyanger,Indian National Congress,"13,587"
Impur,23,ST,T. Chuba,Indian National Congress,"11,396"
Angetyongpang,24,ST,T. Sentichuba,Indian National Congress,"11,124"
Monguya,25,ST,T. Imtimeren Jamir,Indian National Congress,"11,227"
Aonglenden,26,ST,S.C. Jamir,Indian National Congress,"9,143"
Mokokchung Town,27,ST,Nungshizenba,Indian National Congress,"4,556"
Koridang,28,ST,T. Nokyu Longchar,Indian National Congress,"15,254"
Jangpetkong,29,ST,I. Imkong,Indian National Congress,"9,849"
Alungtaki,30,ST,Tongpang Nungshi,Indian National Congress,"12,638"
Akuluto,31,ST,Kakheto,Indian National Congress,"6,888"
Atoizu,32,ST,Doshehe-Y-Sema,Indian National Congress,"9,582"
Suruhuto+A2,33,ST,Kiyezhe Sema,Indian National Congress,"9,175"
Aghunato,34,ST,Tokheho Yepthomi,Indian National Congress,"9,860"
Zunheboto,35,ST,Kakheho,Independent,"13,573"
Satakha,36,ST,Kaito,Indian National Congress,"10,355"
Tyui,37,ST,T.C.K. Lotha,Indian National Congress,"15,906"
Wokha,38,ST,John Lotha,Indian National Congress,"26,971"
Sanis,39,ST,Thomas Ngullie,Indian National Congress,"17,203"
Bhandari,40,ST,L. Yanthungo Patton,Indian National Congress,"17,049"
Tizit,41,ST,Tingkup,Indian National Congress,"13,467"
Wakching,42,ST,P. Enyei Konyak,Indian National Congress,"11,990"
Tapi,43,ST,Bongnao,Indian National Congress,"9,655"
Phomching,44,ST,Kongam,Indian National Congress,"14,785"
Tehok,45,ST,W. Wongyuh Konyak,Indian National Congress,"13,156"
Mon Town,46,ST,C.John,Independent,"14,409"
Aboi,47,ST,Eyong Konyak,Indian National Congress,"8,122"
Moka,48,ST,Nyiamnyei Konyak,Indian National Congress,"11,921"
Tamlu,49,ST,B.Phongshak Phom,Indian National Congress,"27,044"
Longleng,50,ST,Shami Angh,Independent,"27,325"
Noksen,51,ST,H.Chuba Chang,Indian National Congress,"6,781"
Longkhim Chare,52,ST,S.K.Sangtam,Indian National Congress,"13,807"
Tuensang Sadar-I,53,ST,P.Chuba Chang,Independent,"14,300"
Tuensang Sadar-Ii,54,ST,Kijong Chang,Indian National Congress,"11,139"
Tobu,55,ST,Sheakpong Konyak,Indian National Congress,"11,383"
Noklak,56,ST,Sedem Khaming,Indian National Congress,"9,936"
Thonoknyu,57,ST,Shingnyu,Indian National Congress,"10,747"
Shamtorr-Chessore,58,ST,K.Yamakam,Indian National Congress,"13,522"
Siyuchong-Sitimi,59,ST,S.Sethricho,Indian National Congress,"14,635"
Pungro-Kiphire,60,ST,R.L.Akamba,Indian National Congress,"20,495"
