name,state,Class_name,Shape_Area
South West Garo Hills,Meghalaya,NoChange,263978684.3
South West Garo Hills,Meghalaya,Other,599965863.2
West District,Sikkim,MostlyCropland->MostlyDeciduousForest,100484.1843
West District,Sikkim,NoChange,603481420.9
West District,Sikkim,Other,927261171.8
South District,Sikkim,"Grassland,Scrub,orShrub->MostlyDeciduousForest",322476.168
South District,Sikkim,"Grassland,Scrub,orShrub->MostlyNeedleleaf/EvergreenForest",537447.8288
South District,Sikkim,MostlyCropland->MostlyDeciduousForest,7006.964626
South District,Sikkim,NoChange,426307699.7
South District,Sikkim,Other,506853423
East District,Sikkim,NoChange,459833420.5
East District,Sikkim,Other,753336106.6
North District,Sikkim,NoChange,1704142957
North District,Sikkim,Other,3755630858
South Tripura,Tripura,NoChange,427961866.8
South Tripura,Tripura,Other,1311049068
Gomati,Tripura,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",625734.5416
Gomati,Tripura,MostlyCropland->ArtificialSurfaceorUrbanArea,104299.4056
Gomati,Tripura,MostlyDeciduousForest->ArtificialSurfaceorUrbanArea,104281.8109
Gomati,Tripura,NoChange,528021867.3
Gomati,Tripura,Other,1459109008
Sepahijala,Tripura,NoChange,308789829.3
Sepahijala,Tripura,Other,928925058.8
Saiha,Mizoram,"MostlyNeedleleaf/EvergreenForest->Grassland,Scrub,orShrub",103182.4973
Saiha,Mizoram,NoChange,835457250.5
Saiha,Mizoram,Other,963130333.1
Lawngtlai,Mizoram,NoChange,909071761.7
Lawngtlai,Mizoram,Other,1937951408
Lunglei,Mizoram,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",207596.6519
Lunglei,Mizoram,NoChange,1461385284
Lunglei,Mizoram,Other,2818566937
Hnahthial,Mizoram,"Grassland,Scrub,orShrub->MostlyNeedleleaf/EvergreenForest",207567.0904
Hnahthial,Mizoram,"MostlyNeedleleaf/EvergreenForest->Grassland,Scrub,orShrub",103814.2663
Hnahthial,Mizoram,NoChange,388332664.2
Hnahthial,Mizoram,Other,702734201
Champhai,Mizoram,"Grassland,Scrub,orShrub->MostlyNeedleleaf/EvergreenForest",1354156.431
Champhai,Mizoram,"MostlyNeedleleaf/EvergreenForest->Grassland,Scrub,orShrub",209258.3117
Champhai,Mizoram,NoChange,1038813464
Champhai,Mizoram,Other,1739144587
Khawzawl,Mizoram,NoChange,551311212.4
Khawzawl,Mizoram,Other,785705911.8
Serchhip,Mizoram,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",208191.8737
Serchhip,Mizoram,NoChange,606025334.9
Serchhip,Mizoram,Other,1065673866
Khowai,Tripura,MostlyCropland->ArtificialSurfaceorUrbanArea,104534.8126
Khowai,Tripura,NoChange,373057928.8
Khowai,Tripura,Other,893963903.6
West Tripura,Tripura,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",1254384.203
West Tripura,Tripura,MostlyCropland->ArtificialSurfaceorUrbanArea,1777002.517
West Tripura,Tripura,MostlyDeciduousForest->ArtificialSurfaceorUrbanArea,104516.9087
West Tripura,Tripura,NoChange,365081974
West Tripura,Tripura,Other,773812252
Dhalai,Tripura,MostlyCropland->ArtificialSurfaceorUrbanArea,104602.13
Dhalai,Tripura,NoChange,748232938.9
Dhalai,Tripura,Other,1962500768
Mamit,Mizoram,MostlyCropland->ArtificialSurfaceorUrbanArea,104537.039
Mamit,Mizoram,"MostlyNeedleleaf/EvergreenForest->Grassland,Scrub,orShrub",104248.7833
Mamit,Mizoram,NoChange,1199934493
Mamit,Mizoram,Other,2460149097
North Tripura,Tripura,MostlyCropland->ArtificialSurfaceorUrbanArea,209960.6479
North Tripura,Tripura,NoChange,440371163.7
North Tripura,Tripura,Other,1184088689
Unakoti,Tripura,MostlyCropland->ArtificialSurfaceorUrbanArea,104927.3375
Unakoti,Tripura,NoChange,234288648.9
Unakoti,Tripura,Other,592537013.9
Aizawl,Mizoram,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",417793.2042
Aizawl,Mizoram,"Grassland,Scrub,orShrub->MostlyNeedleleaf/EvergreenForest",209213.2891
Aizawl,Mizoram,MostlyDeciduousForest->ArtificialSurfaceorUrbanArea,104183.0739
Aizawl,Mizoram,MostlyNeedleleaf/EvergreenForest->ArtificialSurfaceorUrbanArea,104429.9558
Aizawl,Mizoram,NoChange,1084183530
Aizawl,Mizoram,Other,1379324652
Saitual,Mizoram,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",313221.004
Saitual,Mizoram,"Grassland,Scrub,orShrub->MostlyNeedleleaf/EvergreenForest",418219.9289
Saitual,Mizoram,MostlyCropland->ArtificialSurfaceorUrbanArea,209213.2891
Saitual,Mizoram,NoChange,498140783.9
Saitual,Mizoram,Other,784924627.8
Kolasib,Mizoram,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",104701.4517
Kolasib,Mizoram,MostlyCropland->ArtificialSurfaceorUrbanArea,419115.4604
Kolasib,Mizoram,NoChange,792793118.3
Kolasib,Mizoram,Other,1133659225
Pherzawl,Manipur,"Grassland,Scrub,orShrub->MostlyDeciduousForest",104762.7083
Pherzawl,Manipur,"Grassland,Scrub,orShrub->MostlyNeedleleaf/EvergreenForest",104758.1628
Pherzawl,Manipur,NoChange,1598405506
Pherzawl,Manipur,Other,1139355698
East Jaintia Hills,Meghalaya,"Grassland,Scrub,orShrub->MostlyNeedleleaf/EvergreenForest",211359.4361
East Jaintia Hills,Meghalaya,MostlyCropland->ArtificialSurfaceorUrbanArea,422622.519
East Jaintia Hills,Meghalaya,NoChange,1269978838
East Jaintia Hills,Meghalaya,Other,1196088908
Karimganj,Assam,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",1896977.618
Karimganj,Assam,NoChange,1121117455
Karimganj,Assam,Other,1082011565
Hailakandi,Assam,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",315694.4642
Hailakandi,Assam,NoChange,782708605.5
Hailakandi,Assam,Other,829411628.1
Cachar,Assam,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",210778.8431
Cachar,Assam,NoChange,3130429699
Cachar,Assam,Other,1482006626
Cachar,Assam,SurfaceWater->ArtificialSurfaceorUrbanArea,421441.5802
Jiribam,Manipur,NoChange,127941291.4
Jiribam,Manipur,Other,84054051.64
Kakching,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,735415.0697
Kakching,Manipur,NoChange,139471373.9
Kakching,Manipur,Other,173710503.8
Kakching,Manipur,SwampyorOftenFloodedVegetation->MostlyCropland,210053.0092
Churachandpur,Manipur,"Grassland,Scrub,orShrub->SwampyorOftenFloodedVegetation",943981.002
Churachandpur,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,944509.3058
Churachandpur,Manipur,"MostlyDeciduousForest->Grassland,Scrub,orShrub",105117.0135
Churachandpur,Manipur,"MostlyNeedleleaf/EvergreenForest->Grassland,Scrub,orShrub",105098.3984
Churachandpur,Manipur,NoChange,1319503277
Churachandpur,Manipur,Other,1646577882
Tengnoupal,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,68413.92696
Tengnoupal,Manipur,NoChange,484224404.2
Tengnoupal,Manipur,Other,891423318.2
Chandel,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,314825.7362
Chandel,Manipur,"MostlyNeedleleaf/EvergreenForest->Grassland,Scrub,orShrub",733321.3326
Chandel,Manipur,NoChange,783571872.9
Chandel,Manipur,Other,1755524178
Imphal West,Manipur,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",1021267.384
Imphal West,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,3928395.493
Imphal West,Manipur,NoChange,294405538
Imphal West,Manipur,Other,279988954.3
Imphal West,Manipur,SwampyorOftenFloodedVegetation->ArtificialSurfaceorUrbanArea,105187.0242
Bishnupur,Manipur,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",1857022.083
Bishnupur,Manipur,"Grassland,Scrub,orShrub->SurfaceWater",1786652.003
Bishnupur,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,2331704.821
Bishnupur,Manipur,MostlyNeedleleaf/EvergreenForest->SurfaceWater,946050.7745
Bishnupur,Manipur,NoChange,323119062.8
Bishnupur,Manipur,Other,231146058.2
Bishnupur,Manipur,SurfaceWater->ArtificialSurfaceorUrbanArea,105079.8142
Bishnupur,Manipur,SwampyorOftenFloodedVegetation->MostlyCropland,105075.1759
Bishnupur,Manipur,SwampyorOftenFloodedVegetation->SurfaceWater,1156375.682
Noney,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,105231.4561
Noney,Manipur,"MostlyDeciduousForest->Grassland,Scrub,orShrub",105217.4515
Noney,Manipur,"MostlyNeedleleaf/EvergreenForest->Grassland,Scrub,orShrub",105344.4145
Noney,Manipur,NoChange,874257051.5
Noney,Manipur,Other,497804418.2
Imphal East,Manipur,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",804933.9913
Imphal East,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,9437208.39
Imphal East,Manipur,NoChange,223914098
Imphal East,Manipur,Other,247929520.1
Thoubal,Manipur,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",1788193.001
Thoubal,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,2842346.75
Thoubal,Manipur,NoChange,194533373.5
Thoubal,Manipur,Other,255268773.9
Kamjong,Manipur,"Grassland,Scrub,orShrub->MostlyDeciduousForest",210816.6608
Kamjong,Manipur,"MostlyDeciduousForest->Grassland,Scrub,orShrub",210637.5911
Kamjong,Manipur,"MostlyNeedleleaf/EvergreenForest->Grassland,Scrub,orShrub",105420.1736
Kamjong,Manipur,NoChange,1120398842
Kamjong,Manipur,Other,1670857383
Ukhrul,Manipur,"Grassland,Scrub,orShrub->ArtificialSurfaceorUrbanArea",211633.7459
Ukhrul,Manipur,"Grassland,Scrub,orShrub->MostlyDeciduousForest",538735.7952
Ukhrul,Manipur,"Grassland,Scrub,orShrub->MostlyNeedleleaf/EvergreenForest",211434.2366
Ukhrul,Manipur,MostlyCropland->ArtificialSurfaceorUrbanArea,316775.8063
