name,state,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,Shape_Length,Shape_Area,Incidents_9600,Incidents_0105,Incidents_0610,Incidents_1115,Incidents_1620
Aizawl,Mizoram,209514,249843,294303,327970,362231,396496,447914.1081,2464343803,0,0,0,0,0
Anjaw,Arunachal Pradesh,14012,16664,18003,20195,21155,21859,528532.9985,7935235234,0,0,1,0,0
Baksa,Assam,854293,924992,993108,1051559,1106535,1142569,543623.93,3100965836,8,4,28,12,1
Barpeta,Assam,1022014,1150112,1286523,1419742,1546797,1658696,466816.689,2805358670,11,32,3,8,0
Bishnupur,Manipur,207235,227108,246961,265367,282618,296207,187546.1527,562553081.6,1,0,12,1,0
Biswanath,Assam,445303,487849,531762,571210,607769,636651,258906.1215,2251139601,3,2,3,4,0
Bongaigaon,Assam,462391,514425,570376,621065,668762,712161,344485.64,1409481795,6,18,2,0,0
Cachar,Assam,1196571,1336265,1481446,1628765,1769520,1893030,493446.8191,4612524917,2,5,0,0,0
Champhai,Mizoram,63184,71015,79054,84877,90240,94396,447020.2258,2777211223,0,0,0,0,0
Chandel,Manipur,58726,66608,75273,84487,94259,103260,302138.0904,2538729197,0,2,14,1,3
Changlang,Arunachal Pradesh,111784,123690,135530,150186,160964,169676,698137.686,6436133921,0,1,1,0,8
Charaideo,Assam,358160,383623,408076,427275,443905,453731,261666.3089,1354196158,0,2,5,0,0
Chirang,Assam,414740,459133,496798,528211,555977,573239,337698.5136,2440765227,3,14,12,28,8
Churachandpur,Manipur,149712,167231,184547,202889,222000,235994,326706.6095,2967337700,15,14,1,2,0
Darrang,Assam,634387,712111,793673,872342,948874,1015815,402147.0191,2027008154,1,0,2,1,0
Dhalai,Tripura,238633,268408,300771,329772,359226,383498,420558.1442,2708498069,43,53,23,3,0
Dhemaji,Assam,434760,484614,536413,584692,629924,669554,466151.7014,3243257989,0,3,6,0,0
Dhubri,Assam,779113,889725,1007835,1108532,1205969,1289679,601915.285,1892022879,0,1,1,0,1
Dibang Valley,Arunachal Pradesh,6536,6912,7408,7709,8016,8247,754130.3388,12347080435,0,0,0,0,0
Dibrugarh,Assam,1039935,1120160,1191690,1259332,1317009,1351593,507316.1268,4321940608,31,32,113,9,1
Dima Hasao,Assam,173580,188629,204058,218318,232932,239041,564964.4014,6008268547,1,3,32,7,1
Dimapur,Nagaland,326358,365019,401458,438417,469961,493195,257491.6112,1087320267,3,2,49,7,2
East District,Sikkim,216637,237697,259020,277723,294128,305765,179964.2338,1211954134,0,0,0,0,0
East Garo Hills,Meghalaya,92940,100824,114806,137315,156870,173482,268367.5392,2298138367,1,1,0,18,7
